date,highestPosition,weeksChart,award,title,labelCatNo,weeksNo1,usNo1
4/6/1963,1,70,,Please Please Me,Parlophone PMC 1202,30,0
11/30/1963,1,51,,With The Beatles,Parlophone PMC 1206,21,0
7/18/1964,1,38,,A Hard Day's Night,Parlophone PMC 1230,21,1
12/12/1964,1,46,,Beatles For Sale,Parlophone PMC 1240,11,0
8/14/1965,1,37,,Help!,Parlophone PMC 1255,9,1
12/11/1965,1,42,,Rubber Soul,,8,1
8/13/1966,1,34,,Revolver,Parlophone PMC 7009,7,1
12/10/1966,7,34,,A Collection Of Beatles Oldies,Parlophone PMC 1267,,0
6/3/1967,1,149,,Sgt. Pepper's Lonely Hearts Club Band,Parlophone PCS 7027,27,1
1/13/1968,31,2,,Magical Mystery Tour (import),Capitol SMAL 2835,,1
12/7/1968,1,22,,The Beatles (White Album),Apple PCS 7067/8,8,1
2/1/1969,3,10,,Yellow Submarine,Apple PCS 7070,,0
10/4/1969,1,81,,Abbey Road,Apple PCS 7088,17,1
5/23/1970,1,59,,Let It Be,Apple PXS 1,3,1
1/16/1971,30,1,,A Hard Day's Night,Parlophone PCS 3058,,0
7/24/1971,33,2,,Help!,Parlophone PCS 3071,,0
5/5/1973,3,114,P,The Beatles 1962-1966,Apple PCSP 718,,0
5/5/1973,2,148,P,The Beatles 1967-1970,Apple PCSP 717,,1
6/26/1976,11,15,G,Rock 'n' Roll Music,Parlophone PCSP 719,,0
8/21/1976,45,1,,The Beatles Tapes,Polydor 2683 068,,0
